,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
28,1.0,KS3384,1748.0900016300002,1748.0900016300002,47.0,47.0
3179,1.0,KS6226,1734.6899759599999,1734.6899759599999,9698.0,9698.0
2527,1.0,KS7232,1684.48002624,1684.48002624,16097.0,16097.0
0,1.0,KS3740,1666.9900017000002,1666.9900017000002,1.0,1.0
947,1.0,KS1520,1657.0600061399998,1657.0600061399998,11713.0,11713.0
361,1.0,KS7232,1639.37399293,1639.37399293,3548.0,3548.0
22,1.0,KS5021,1631.7299965400002,1631.7299965400002,463.0,463.0
173,1.0,KS7232,1628.62002562,1628.62002562,1087.0,1087.0
963,1.0,KS6173,1581.4999904499998,1581.4999904499998,3866.0,3866.0
2800,1.0,KS6226,1502.05001855,1502.05001855,8798.0,8798.0
691,1.0,KS5035,1501.10000302,1501.10000302,6553.0,6553.0
957,1.0,KS7232,1463.05998231,1463.05998231,10615.0,10615.0
8,0.9674735150060909,KS3721,1504.6200014899998,1455.6800015899998,64.0,64.0
14,1.0,KS5233,1450.8900012900003,1450.8900012900003,73.0,73.0
0,1.0,KS3717,1447.7800102100002,1447.7800102100002,1.0,1.0
34,1.0,KS3676,1434.6900004500003,1434.6900004500003,62.0,62.0
111,1.0,KS3385,1417.9700021699998,1417.9700021699998,465.0,465.0
2492,1.0,KS7232,1415.5060195800002,1415.5060195800002,16030.0,16030.0
802,1.0,KS1143,1414.3859624699999,1414.3859624699999,2203.0,2203.0
119,1.0,KS3385,1409.26999652,1409.26999652,503.0,503.0
86,1.0,KS3385,1408.5700016,1408.5700016,357.0,357.0
15,1.0,KS6173,1407.32000453,1407.32000453,145.0,145.0
2575,1.0,KS7232,1384.0000362299998,1384.0000362299998,16187.0,16187.0
232,1.0,KS3676,1346.14999006,1346.14999006,422.0,422.0
12,1.0,KS3479,1345.1999993299999,1345.1999993299999,35.0,35.0
606,0.9974596274970692,KS6226,1334.4500053000002,1331.0600052000002,1929.0,1929.0
800,1.0,KS1143,1307.3169641499996,1307.3169641499996,2197.0,2197.0
3232,1.0,KS7166,1282.8099979300002,1282.8099979300002,8441.0,8441.0
3,1.0,KS1193,1266.60000231,1266.60000231,343.0,343.0
1227,1.0,KS1520,1263.3200035299997,1263.3200035299997,12310.0,12310.0
1814,0.9788618771790502,KS6226,1289.1400107199997,1261.8900108399998,6208.0,6208.0
1,1.0,KS3746,1259.36999724,1259.36999724,6.0,6.0
1566,1.0,KS3441,1245.9474882800005,1245.9474882800005,6821.0,6821.0
199,0.9948798770958609,KS5123,1249.96999678,1243.56999677,845.0,845.0
4,1.0,KS5173,1219.8899879300004,1219.8899879300004,78.0,78.0
2903,1.0,KS7166,1212.72999669,1212.72999669,7748.0,7748.0
2392,1.0,KS7232,1211.73000336,1211.73000336,15874.0,15874.0
804,1.0,KS1143,1172.52089523,1172.52089523,2207.0,2207.0
1744,1.0,KS7232,1165.91001701,1165.91001701,14416.0,14416.0
748,1.0,KS3441,1161.35999854,1161.35999854,4850.0,4850.0
3387,1.0,KS6226,1155.1399926899999,1155.1399926899999,10210.0,10210.0
6943,1.0,KS7166,1143.2500114500003,1143.2500114500003,15419.0,15419.0
531,1.0,KS6173,1142.2000122099996,1142.2000122099996,2430.0,2430.0
2886,1.0,KS6226,1133.38000346,1133.38000346,8965.0,8965.0
31,1.0,KS1522,1133.38000109,1133.38000109,607.0,607.0
3949,1.0,KS6226,1121.49000284,1121.49000284,11011.0,11011.0
256,0.9972350397499474,KS1532,1103.09000281,1100.0400028,1785.0,1785.0
1471,1.0,KS7232,1099.02998923,1099.02998923,13506.0,13506.0
1241,1.0,KS3441,1086.44000247,1086.44000247,6162.0,6162.0
1738,1.0,KS7232,1077.9000053499997,1077.9000053499997,14393.0,14393.0
1203,1.0,KS7232,1075.1799945799999,1075.1799945799999,12122.0,12122.0
1002,1.0,KS6173,1073.1499996100001,1073.1499996100001,3913.0,3913.0
360,1.0,KS3441,1071.215994,1071.215994,3271.0,3271.0
141,1.0,KS6173,1069.21000097,1069.21000097,797.0,797.0
306,1.0,KS6173,1068.3999972400002,1068.3999972400002,1499.0,1499.0
864,1.0,KS1532,1059.9999943100001,1059.9999943100001,3086.0,3086.0
432,1.0,KS6173,1039.11000822,1039.11000822,2161.0,2161.0
1773,1.0,KS7232,1031.10698651,1031.10698651,14507.0,14507.0
1295,1.0,KS3441,1030.1599940199999,1030.1599940199999,6287.0,6287.0
917,0.9990376683880678,KS3441,1018.35999966,1017.3799996399999,5290.0,5290.0
24,1.0,KS7059,1005.6900158099997,1005.6900158099997,492.0,492.0
2611,1.0,KS7232,998.36000633,998.36000633,16240.0,16240.0
59,1.0,KS3385,991.2700095199999,991.2700095199999,261.0,261.0
5832,1.0,KS7166,981.0200078199998,981.0200078199998,13990.0,13990.0
399,1.0,KS6226,979.12000655,979.12000655,1246.0,1246.0
99,1.0,KS3689,971.4793796299998,971.4793796299998,268.0,268.0
2689,1.0,KS1143,962.7700109799998,962.7700109799998,6110.0,6110.0
1735,1.0,KS7232,962.7500114299999,962.7500114299999,14382.0,14382.0
2195,1.0,KS7232,956.3000144999999,956.3000144999999,15563.0,15563.0
25,1.0,KS1148,933.1199932100003,933.1199932100003,204.0,204.0
25,1.0,KS1236,931.8600082800001,931.8600082800001,166.0,166.0
1080,1.0,KS6226,929.76999896,929.76999896,3569.0,3569.0
31,1.0,KS3704,927.4300026700001,927.4300026700001,101.0,101.0
79,1.0,KS5040,923.89470749,923.89470749,526.0,526.0
379,1.0,KS6173,923.3199944500001,923.3199944500001,1805.0,1805.0
1856,1.0,KS7232,915.4799933599999,915.4799933599999,14766.0,14766.0
3358,1.0,KS6226,914.8200047800001,914.8200047800001,10100.0,10100.0
1189,1.0,KS6173,913.5799970700002,913.5799970700002,4160.0,4160.0
97,1.0,KS1538,905.7755918699999,905.7755918699999,551.0,551.0
185,1.0,KS3385,900.70999906,900.70999906,688.0,688.0
